Export_country,Import_country,Year,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,GDP_exporter,GDP_importer,Comprehensive trade cost,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Austria,Belgium,2013,39052521.38768006,45800.22442031426,2188905466.4540124,2137436.8665580084,2209368028.1583643,2824473.1765561285,430190979705.962,521791015247.0603,74.86736672389101,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2014,38245146.35106992,46123.21154811194,2044632161.1801672,1975649.3902715652,2697334352.0356436,3981593.952694225,442584815286.03375,535390200131.0177,75.00330868706632,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2015,26503213.92798137,39813.19298753814,1634109154.8728929,1937191.7303749104,2404518774.085075,4729447.138075011,381971148530.5428,462335574841.4841,79.93595608534415,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2016,24847068.51493014,38398.47896641363,1550118150.9583142,1926060.405623313,2278727501.2198524,4427269.702410758,395837353031.499,476062757356.9273,78.77414975978894,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2017,33602380.6774025,39769.51907448345,1909862076.1280394,2053050.4243765394,3196264782.8918676,4994690.183970396,417261151844.9772,502764720556.3538,75.237595811809,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2018,32387175.64317035,34080.80863503771,1918138823.85291,1831897.66935291,3780482134.748312,5573054.744118394,454991174096.1016,543299066998.9016,71.93429429864366,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2019,21375821.74456215,24559.57559546661,1749188482.3448749,1830112.118698807,3096631294.0424714,5306328.724056482,444596155845.2542,535865804349.80304,69.42714572592217,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2020,24024168.41655161,33629.50289378889,1473902702.6853168,1657229.2077947774,2194707923.532056,3995038.843408796,435049316955.73663,526264230147.3945,69.82090261378877,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2021,35734469.29030608,34843.39785490316,2051149222.235351,1720019.25358783,5205161940.910389,6282236.182119197,479295362747.0466,600748812601.5408,60.96396268519331,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2022,43437995.71165836,35241.4644749667,2292529187.8775816,1638344.491113407,3164320391.5617423,2907200.1873959918,470941926750.7412,583435595579.9634,,914.4633,914.4633,858.1682,840.9505
Austria,Belgium,2023,21564990.8360033,22665.01140010145,1558846418.732397,1267653.8726461027,2252349187.282887,2455173.85452305,,,,914.4633,914.4633,858.1682,840.9505
Austria,Brazil,2013,408750.925247192,250.566736070599,2188905466.4540124,2137436.8665580084,764904810.0592418,828456.8229505932,430190979705.962,2472819535742.7266,163.69579758947634,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2014,841256.195919991,706.344343944258,2044632161.1801672,1975649.3902715652,857736254.0332913,1009799.2407152583,442584815286.03375,2456043727198.8545,162.04328288181847,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2015,411161.39498627227,216.2220615928979,1634109154.8728929,1937191.7303749104,713585421.7712096,880286.3162530338,381971148530.5428,1802212206904.6775,157.7982864299563,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2016,395471.3697509762,388.44936344266756,1550118150.9583142,1926060.405623313,407721691.88855326,621507.0306464519,395837353031.499,1795693482652.5151,168.28952503670433,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2017,1717717.5599060059,2082.964390419719,1909862076.1280394,2053050.4243765394,474246180.05341727,567120.7496965455,417261151844.9772,2063514977334.3208,156.57430040836218,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2018,96189.4123535156,58.7000009417534,1918138823.85291,1831897.66935291,521411145.09961843,574172.7568559836,454991174096.1016,1916933898038.3567,144.18470958948456,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2019,12441615.62953185,11990.794804338007,1749188482.3448749,1830112.118698807,542409802.8380039,641367.1589448355,444596155845.2542,1873288205186.4492,152.3615801588237,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2020,12758519.071186785,14388.121296079033,1473902702.6853168,1657229.2077947774,440512473.0875461,488434.5682522772,435049316955.73663,1476107231194.106,150.69232368618657,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2021,17709465.10964012,15525.760380097432,2051149222.235351,1720019.25358783,1500728615.533081,1767231.839807018,479295362747.0466,1649622821885.136,146.37690663240716,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2022,16086929.513920797,8019.370830995166,2292529187.8775816,1638344.491113407,1034547456.7949448,805190.1369187883,470941926750.7412,1920095779022.7288,,10146.47,9534.888,9478.487,9395.406
Austria,Brazil,2023,4626021.772125245,2154.044132971892,1558846418.732397,1267653.8726461027,1040895803.8050842,1196319.542939528,,,,10146.47,9534.888,9478.487,9395.406
Austria,Canada,2018,720145.301863194,357.7721801223567,1918138823.85291,1831897.66935291,2155835856.332909,2282554.511239979,454991174096.1016,1725329192783.024,130.19422570551126,6922.538,6573.097,7070.077,6991.415
Austria,Canada,2019,49463.4802246094,24.3000000119209,1749188482.3448749,1830112.118698807,1463818627.7776616,1345777.5965773482,444596155845.2542,1743725183672.5212,,6922.538,6573.097,7070.077,6991.415
Austria,Canada,2021,1236394.323680877,597.707147376218,2051149222.235351,1720019.25358783,2869923477.3296294,2755008.584834648,479295362747.0466,2007472181464.152,,6922.538,6573.097,7070.077,6991.415
